u,v,time,k
0,4,0.007544889069400211,0
0,9,0.007544889069400211,0
1,15,0.007544889069400211,0
2,7,0.007544889069400211,0
6,11,0.007544889069400211,0
6,15,0.007544889069400211,0
8,14,0.007544889069400211,0
12,14,0.007544889069400211,0
13,19,0.007544889069400211,0
15,16,0.007544889069400211,0
1,9,0.010844477163763766,0
1,12,0.010844477163763766,0
2,15,0.010844477163763766,0
5,12,0.010844477163763766,0
9,19,0.010844477163763766,0
0,12,0.024976912140415683,0
1,8,0.024976912140415683,0
3,4,0.024976912140415683,0
4,15,0.024976912140415683,0
4,17,0.024976912140415683,0
7,10,0.024976912140415683,0
7,17,0.024976912140415683,0
0,5,0.026303665077552715,0
0,6,0.026303665077552715,0
2,10,0.026303665077552715,0
4,6,0.026303665077552715,0
4,11,0.026303665077552715,0
6,17,0.026303665077552715,0
8,10,0.026303665077552715,0
2,16,0.04072990678627649,0
3,10,0.04072990678627649,0
6,10,0.04072990678627649,0
6,13,0.04072990678627649,0
7,16,0.04072990678627649,0
7,18,0.04072990678627649,0
9,14,0.04072990678627649,0
9,15,0.04072990678627649,0
9,17,0.04072990678627649,0
10,11,0.04072990678627649,0
11,17,0.04072990678627649,0
17,19,0.04072990678627649,0
0,17,0.04229235333078519,0
2,4,0.04229235333078519,0
3,19,0.04229235333078519,0
4,12,0.04229235333078519,0
4,18,0.04229235333078519,0
0,8,0.04430484937868921,0
4,9,0.04430484937868921,0
4,16,0.04430484937868921,0
5,16,0.04430484937868921,0
6,9,0.04430484937868921,0
6,14,0.04430484937868921,0
6,16,0.04430484937868921,0
11,18,0.04430484937868921,0
0,7,0.0530716603901291,0
3,16,0.0530716603901291,0
5,10,0.0530716603901291,0
9,12,0.0530716603901291,0
16,17,0.0530716603901291,0
1,17,0.07230203588865368,0
2,5,0.07230203588865368,0
4,5,0.07230203588865368,0
5,19,0.07230203588865368,0
7,9,0.07230203588865368,0
14,19,0.07230203588865368,0
0,10,0.08243863840632062,0
3,18,0.08243863840632062,0
8,9,0.08243863840632062,0
14,17,0.08243863840632062,0
15,17,0.08243863840632062,0
12,14,0.08243863840632062,1
0,11,0.08279929470977147,0
1,5,0.08279929470977147,0
11,13,0.08279929470977147,0
11,15,0.08279929470977147,0
12,15,0.08279929470977147,0
14,16,0.08279929470977147,0
